"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.855346360E0,-1.085699439E0,-1.055803776E0,-3.652696609E-1
1.860376308E0,-1.084171057E0,-1.112851620E0,-5.108199120E-1
1.865406620E0,-1.014242887E0,-1.144719124E0,-5.634331703E-1
1.870436881E0,-9.328742027E-1,-1.211118698E0,-5.831842422E-1
1.875467245E0,-8.757662773E-1,-1.256801605E0,-5.918393135E-1
1.880497558E0,-8.281370401E-1,-1.322447777E0,-6.491813660E-1
1.885527818E0,-7.605130672E-1,-1.410236359E0,-7.600269318E-1
1.890563287E0,-6.435085535E-1,-1.486701965E0,-8.071985245E-1
1.895593600E0,-5.792026520E-1,-1.566195011E0,-8.960542679E-1
1.900623912E0,-5.122867823E-1,-1.641526699E0,-9.572401047E-1
1.905654225E0,-4.764676094E-1,-1.672016621E0,-9.526658058E-1
1.910684537E0,-4.338941574E-1,-1.640944481E0,-8.849749565E-1
1.915714850E0,-4.116731584E-1,-1.603559017E0,-8.210997581E-1
